Configuration Item,CI_TagName,CI_TagUserName,CI_TagDescription,CI_ValueSizeBytes,CI_ValueOptions,CI_ValueOptions,CI_InternalNotes,CI_UserVisibility,CI_ReadOnly,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_AladdinMenuPathsAndCategories
R2PA,CI_RS232_PARITY,Parity,Specifies parity required for sending and receiving data,1,"[format=selection]
0x00=None
0x01=Even
0x02=Odd
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",,,PUBLIC_PRG,false,0x00,0x00,,0x02,,,,,,,,,,RS232
R2ST,CI_RS232_NUMBER_OF_STOP_BITS,Stop Bits,Specifies number of stop bits required for sending and receiving data,1,"[format=selection]
0x00=One
0x01=Two
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RS232
R2DA,CI_RS232_NUMBER_OF_DATA_BITS,Data Bits,"Specifies number of data bits required for sending and receiving data.
Seven data bits is supported only in desk model.",1,"[format=selection]
0x00=Seven data bits
0x01=Eight data bits
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",,Desk model is the only that can work with 7 and 8 bits.,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,RS232
R2TF,CI_RS232_INDICATE_TRANSMISSION_FAILURE,Indicate Transmission Failure,Enables/Disables bad-label indication on transmission failure in ACK/NAK mode.,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,RS232
UOSE,CI_USB_OEM_SCANNER_ENABLE,Usb OEM Startup Status,,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=2,3,4,5,6,8,9,10,12",,"00 means that STARTUP STATUS is disabled (default)
01 means that STARTUP STATUS is enabled",INTERNAL,false,0x00,0x00,,,,,,,,,0x00,,,USB
USSE,CI_USB_SUSPEND_ENABLE,USB Suspend Enable,Enables/Disables the ability of the HH to ignore the SUSPEND request from Host,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=3",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,USB
USTM,CI_TX_TIMEOUT,Transmission Timeout (0-99 Sec.),Transmission timeout. A selection of 0 disables the timeout.,1,"[format=range]
min=00
max=0x63
step=01
[PRG_ValueIncluded=false]",,,PUBLIC_PRG,false,0x14,0x14,,,,,,,,,,,,TX
IBUT,CI_USB_IBM_SCANNER_DEVICE_USAGE_TYPE,USB-OEM Device Usage,Selects the USB-OEM device usage type that will be communicated over the interface by the scanner.,1,"[format=selection]
0x00=Table-top Scanner
0x01=Hand-held Scanner
[ExtraOption=NotAvailableFor]
classes=2,3,4,6,8,9,10,12",,Changing this value from the factory setting may be necessary when connecting two of the same scanner type to a POS system.,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,USB
IFIH,CI_IGNORE_HOST_COMMANDS,Host Commands - Obey/Ignore,"When set to Ignore, the scanner will ignore all host commands except for those necessary for service mode, flash programming mode, to keep the interface active, and transmit labels.",1,"[format=selection]
0x00=Obey (Do not ignore host commands)
0x01=Ignore",,"The options value description coming form the past revision and Museo platform was:
0x00=Normal (Do not ignore host commands)
0x01=Ignore
The current value have been updated to:
0x00=Obey (Do not ignore host commands)
0x01=Ignore",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,IGNORE
IFML,CI_MAX_HOST_TRANSMIT_MESSAGE_LENGTH,Maximum Host Transmitted Message,Specifies maximum number of data characters in a host transmit message.,1,"[format=range]
min=00
max=0xF6
step=01
[PRG_ValueIncluded=false]",,"This value cannot be set above 246 because the scanner cannot verify a message length in that range due to the data length limitations of the IPC_UI_Xmit_Data_Cmd specified in ""System Controller / Universal Interface IPC Specification"", R90-0046. 
In general, this length excludes the framing bytes, if they exist, of the selected interface. See the Comet EDD for details about the data bytes included in this length for each interface.",INTERNAL,false,0x00,0x00,,,,,,,,,,,,MAX
IFO1,CI_INTERFACE_OPTIONS,Interface Options 1,Provides for an interface specific control mechanism.,1,"[format=selection]
0x00=Obey Scanner Configuration Host Commands
0x02=Ignore Scanner Configuration Host Commands
[PRG_ValueIncluded=false]",,"Selects the following options in the specfied interfaces:
USB OEM -
  Bit0: 1 = Compatible with MagellanSL Configuration Host Cmd Processing. 0 = Normal Processing.
  Bit1: 1 = Fake Scanner Configuration Host Cmd Processing. 0 = Normal Processing.
  Bit2: 1 = Fake Scale Configuration Host Cmd Processing. 0 = Normal Processing.
IBM 4683 Port 5B - 
  Bit0: Unused
  Bit1: 1 = Fake Scanner Configuration Host Cmd Processing. 0 = Normal Processing.
  Bit2: Unused
IBM 4683 Port 9B - 
  Bit0: Unused
  Bit1: 1 = Fake Scanner Configuration Host Cmd Processing. 0 = Normal Processing.
  Bit2: Unused
RS232 -
  All bits unused.
Keyboard -
  All bits unused.
USB-HID-POS -
  All bits unused.
Wand -
  All bits unused.",INTERNAL,false,0x00,0x00,,,,0x02,,,,,0x02,,,INTERFACE
KBAL,CI_KEYBOARD_APPLE_LAYOUT,Apple iOS keyboard layout,Specifies whether [Apple iOS]-specific character conversion must be enabled or disabled. Useful when using BT HID.,1,"[format=selection]
00=Disabled
01=Enabled",,It is suggested to enable this feature when the scanner must work using BT HID with a remote device running Apple iOS operating system. Especially if the remote language and the scanner language is German.,INTERNAL,false,0x00,0x00,,,,,,,,,,,,KEYBOARD
3BAI,CI_EAN13_AIM_ID_ENABLE,EAN-13 AIM ID,Enables/Disables AIM ID for EAN-13,1,"[format=selection]
0x00=Disable
0x01=Enable",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"EAN13,AIMID"
32AI,CI_EAN13_P2_AIM_ID_ENABLE,EAN-13 P2 AIM ID,Enables/Disables AIM ID for EAN-13 P2,1,"[format=selection]
0x00=Disable
0x01=Enable",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"EAN13,AIMID"
35AI,CI_EAN13_P5_AIM_ID_ENABLE,EAN-13 P5 AIM ID,Enables/Disables AIM ID for EAN-13 P5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"EAN13,AIMID"
3CAI,CI_EAN13_COMPOSITE_AIM_ID_ENABLE,EAN-13 Composite AIM ID,Enables/Disables AIM ID for EAN-13 Composite,1,"[format=selection]
0x00=Disable
0x01=Enable",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"EAN13,AIMID"
ABAI,CI_UPCA_AIM_ID_ENABLE,UPC-A AIM ID,Enables/Disables AIM ID for UPC-A,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"UPCA,AIMID"
A2AI,CI_UPCA_P2_AIM_ID_ENABLE,UPC-A P2 AIM ID,Enables/Disables AIM ID for UPC-A P2,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"UPCA,AIMID"
A5AI,CI_UPCA_P5_AIM_ID_ENABLE,UPC-A P5 AIM ID,Enables/Disables AIM ID for UPC-A P5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"UPCA,AIMID"
AUAI,CI_UPCA_COMPOSITE_AIM_ID_ENABLE,UPC-A Composite AIM ID,Enables/Disables AIM ID for UPC-A Composite,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"UPCA,AIMID"
8BAI,CI_EAN8_AIM_ID_ENABLE,EAN-8 AIM ID,Enables/Disables AIM ID for EAN-8,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"EAN8,AIMID"
82AI,CI_EAN8_P2_AIM_ID_ENABLE,EAN-8 P2 AIM ID,Enables/Disables AIM ID for EAN-8 P2,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"EAN8,AIMID"
85AI,CI_EAN8_P5_AIM_ID_ENABLE,EAN-8 P5 AIM ID,Enables/Disables AIM ID for EAN-8 P5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"EAN8,AIMID"
8CAI,CI_EAN8_COMPOSITE_AIM_ID_ENABLE,EAN-8 Composite AIM ID,Enables/Disables AIM ID for EAN-8 Composite,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"EAN8,AIMID"
EBAI,CI_UPCE_AIM_ID_ENABLE,UPC-E AIM ID,Enables/Disables AIM ID for UPC-E,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"UPCE,AIMID"
E2AI,CI_UPCE_P2_AIM_ID_ENABLE,UPC-E P2 AIM ID,Enables/Disables AIM ID for UPC-E P2,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"UPCE,AIMID"
E5AI,CI_UPCE_P5_AIM_ID_ENABLE,UPC-E P5 AIM ID,Enables/Disables AIM ID for UPC-E P5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"UPCE,AIMID"
ECAI,CI_UPCE_COMPOSITE_AIM_ID_ENABLE,UPC-E Composite AIM ID,Enables/Disables AIM ID for UPC-E Composite,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"UPCE,AIMID"
ISAI,CI_ISBN_AIM_ID_ENABLE,ISBN AIM ID,Enables/Disables AIM ID for ISBN,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"ISBN,AIMID"
INAI,CI_ISSN_AIM_ID_ENABLE,ISSN AIM ID,Enables/Disables AIM ID for ISSN,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"ISSN,AIMID"
GBAI,CI_GTIN_AIM_ID_ENABLE,GTIN AIM ID,Enables/Disables AIM ID for GTIN,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"GTIN,AIMID"
G2AI,CI_GTIN2_AIM_ID_ENABLE,GTIN P2 AIM ID,Enables/Disables AIM ID for GTIN2,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"GTIN2,AIMID"
G5AI,CI_GTIN5_AIM_ID_ENABLE,GTIN P5 AIM ID,Enables/Disables AIM ID for GTIN5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"GTIN5,AIMID"
4BAI,CI_RSS_14_AIM_ID_ENABLE,GS1 DataBar Omnidirectional AIM ID,Enables/Disables AIM ID for GS1 DataBar Omnidirectional,1,"[format=selection]
0x00=Disable
0x01=Enable",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"RSS,AIMID"
4CAI,CI_RSS_14_COMPOSITE_AIM_ID_ENABLE,GS1 DataBar Omnidirectional Composite AIM ID,Enables/Disables AIM ID for GS1 DataBar Omnidirectional Composite,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"RSS,AIMID"
LBAI,CI_RSS_LIMITED_AIM_ID_ENABLE,GS1 DataBar Limited AIM ID,Enables/Disables AIM ID for GS1 DataBar Limited,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"RSS,AIMID"
LCAI,CI_RSS_LIMITED_COMPOSITE_AIM_ID_ENABLE,GS1 DataBar Limited Composite AIM ID,Enables/Disables AIM ID for GS1 DataBar Limited Composite,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"RSS,AIMID"
XBAI,CI_RSS_EXPANDED_AIM_ID_ENABLE,GS1 DataBar Expanded AIM ID,Enables/Disables AIM ID for GS1 DataBar Expanded,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"RSS,AIMID"
XCAI,CI_RSS_EXPANDED_COMPOSITE_AIM_ID_ENABLE,GS1 DataBar Expanded Composite AIM ID,Enables/Disables AIM ID for GS1 DataBar Expanded Composite,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"RSS,AIMID"
C3AI,CI_CODE39_AIM_ID_ENABLE,Code39 AIM ID,Enables/Disables AIM ID for Code 39,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"CODE39,AIMID"
P3AI,CI_CODE39_PHARMACODE_AIM_ID_ENABLE,Code 39 Pharmacode AIM ID,Enables/Disables AIM ID for C39 Pharmacode,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"CODE39,AIMID"
CCAI,CI_CODE39_CIP_AIM_ID_ENABLE,Code 39 CIP AIM ID,Enables/Disables AIM ID for Code39 CIP,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"CODE39,AIMID"
CTAI,CI_TRIOPTIC_AIM_ID_ENABLE,Trioptic Code AIM ID,Enables/Disables AIM ID for Trioptic Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"TRIOPTIC,AIMID"
C8AI,CI_CODE128_AIM_ID_ENABLE,Code 128 AIM ID,Enables/Disables AIM ID for Code 128,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"CODE128,AIMID"
U8AI,CI_EAN128_AIM_ID_ENABLE,GS1-128 AIM ID,Enables/Disables AIM ID for GS1-128,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x01,0x01,,0x00,,0x00,,0x00,,0x00,0x00,,,"EAN128,AIMID"
UCAI,CI_EAN128_COMPOSITE_AIM_ID_ENABLE,GS1-128 Composite AIM ID,Enables/Disables AIM ID for GS1-128 Composite,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"EAN128,AIMID"
I2AI,CI_I2OF5_AIM_ID_ENABLE,Interleaved 2 of 5 AIM ID,Enables/Disables AIM ID for Interleaved 2 of 5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"I2OF5,AIMID"
HRAI,CI_I2OF5_CIP_HR_AIM_ID_ENABLE,Interleaved 2 of 5 CIP HR AIM ID,Enables/Disables AMI ID for Interleaved 2 of 5 CIP HR,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"I2OF5,AIMID"
M2AI,CI_MATRIX_2OF5_AIM_ID_ENABLE,Matrix 2 of 5 AIM ID,Enables/Disables AIM ID for Matrix 2 of 5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"MATRIX,AIMID"
D2AI,CI_DATALOGIC_2OF5_AIM_ID_ENABLE,Datalogic 2 of 5 AIM ID,Enables/Disables AIM ID for Datalogic 2 of 5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"DATALOGIC,AIMID"
S2AI,CI_S25_AIM_ID_ENABLE,Code Standard 2 of 5 AIM ID,Enables/Disables AIM ID for Code Standard 2 of 5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"S25,AIMID"
U2AI,CI_INDUSTRIAL_2OF5_AIM_ID_ENABLE,Industrial 2 of 5 AIM ID,Enables/Disables AIM ID for Industrial 2 of 5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"INDUSTRIAL,AIMID"
C9AI,CI_CODE93_AIM_ID_ENABLE,Code 93 AIM ID,Enables/Disables AIM ID for Code 93,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"CODE93,AIMID"
P1AI,CI_PHARMACODE_AIM_ID_ENABLE,Pharmacode AIM ID Enable/Disable,Enables/Disables AIM ID for Pharmacode.,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"PHARMACODE,AIMID"
PBAI,CI_POSTAL_POSTNET_AIM_ID_ENABLE,Postnet Postal AIM ID,Enables/Disables AIM ID for Postnet Postal Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
PFAI,CI_POSTAL_FINNISH_AIM_ID_ENABLE,Finnish Postal Code AIM ID,Enables/Disables AIM ID for Finnish Postal Code,1,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
PFID,CI_LABEL_ID_POSTAL_FINNISH,Set Finnish  Postal Code Label ID Character(s),Specifies Finnish  Postal Code label ID to be added to label data,3,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",,,PUBLIC_PRG,false,0x246600,0x246600,,,,,,,,,,,,POSTAL_FINNISH
PGAI,CI_POSTAL_PORTUGAL_AIM_ID_ENABLE,Portugal Postal Code AIM ID,Enables/Disables AIM ID for Portugal Postal Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
PJAI,CI_POSTAL_JAPANESE_AIM_ID_ENABLE,Japan Postal Code AIM ID,Enables/Disables AIM ID for Japan Postal Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
PKAI,CI_POSTAL_KIX_AIM_ID_ENABLE,KIX Postal Code AIM ID,Enables/Disables AIM ID for KIX Postal Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
PIAI,CI_POSTAL_MAIL_MARK_AIM_ID_ENABLE,Mail Mark Postal Code AIM ID,Enables/Disables AIM ID for Mail Mark Postal Code,1,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
PIID,CI_LABEL_ID_POSTAL_MAIL_MARK,Set Mail Mark Postal Code Label ID Character(s),Specifies Mail Mark Postal Code label ID to be added to label data,3,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",,,PUBLIC_PRG,false,0x244900,0x244900,,,,,,,,,,,,POSTAL_MAIL_MARK
PMAI,CI_POSTAL_IMB_AIM_ID_ENABLE,IMB Postal Code AIM ID,Enables/Disables AIM ID for IMB Postal Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
PPAI,CI_POSTAL_PLANET_AIM_ID_ENABLE,Postal Planet Code AIM ID,Enables/Disables AIM ID for Postal Planet Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
PRAI,CI_POSTAL_ROYAL_MAIL_AIM_ID_ENABLE,Royal Postal Code AIM ID,Enables/Disables AIM ID for Royal Postal Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
PSAI,CI_POSTAL_SWEDISH_AIM_ID_ENABLE,Swedish Postal Code AIM ID,Enables/Disables AIM ID for Swedish Postal Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"POSTAL,AIMID"
CBAI,CI_CODABAR_AIM_ID_ENABLE,Codabar AIM ID,Enables/Disables AIM ID for Codabar,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"CODABAR,AIMID"
ACAI,CI_ABC_CODABAR_AIM_ID_ENABLE,ABC Codabar AIM ID,Enables/Disables AIM ID for ABC Codabar,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"ABC,AIMID"
APAI,CI_ANKER_PLESSEY_AIM_ID_ENABLE,Anker Plessey AIM ID,Enables/Disables AIM ID for Anker Plessey,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,"Effective only when CI_ALL_AIM_ID_ENABLE is disabled.
Anker Plessey is enabled through the Plessey check digit calculation.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"ANKER,AIMID"
C7AI,CI_NW7_CODABAR_AIM_ID_ENABLE,NW7 Code AIM ID,Enables/Disables AIM ID for NW7 Code,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Undocumented in PRG. It is left only so the configuration alignment continues to work with older SW versions.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,"NW7,AIMID"
