Name,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class7_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_Class14_Default,CI_Class15_Default,CI_ValueOptions,CI_TagName
RBID,0x04,0x04,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_IDLE_RGB_LED_DELAY_TIME
RBSC,0x03,0x03,,,,,,,,,,,,,,,"[format=selection]
00=Use Random pattern
01=Use your defined pattern
02=Red
03=Blue
04=Green
05=Yellow
06=Purple
07=Turquoise
08=Orange
09=Fuchsia
0A=Cyan
[PRG_ValueIncluded=false]",CI_SCREEN_SAVER_RGB_LED_COLOR
RBSE,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Disabled
01=Enabled",CI_SCREEN_SAVER_RGB_LED_ENABLE
RBCL,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=RED
01=GREEN
02=BLUE",CI_GOOD_READ_RGB_LED_COLOR
RBGE,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_GOOD_READ_RGB_LED_ENABLE
VBGL,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=100 ms
01=300 ms",CI_VIBRATION_GOODREAD_LENGTH
VBGE,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_VIBRATION_GOODREAD_ENABLE
AUEN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_JINGLE_AUDIO_ENABLE
RBP2,0x89F205DC40000705030005DC40000705030F0000000000000000000000000000000000000000000000000000000000000000,0x89F205DC40000705030005DC40000705030F0000000000000000000000000000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFF
[PRG_ValueIncluded=false]",CI_RGB_PATTERN_2
RBP1,0x89F2C3E883E800FF000083E80000000000000000000000000000000000000000000000000000000000000000000000000000,0x89F2C3E883E800FF000083E80000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFF
[PRG_ValueIncluded=false]",CI_RGB_PATTERN_1
BTML,0x0000,0x0000,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01",CI_BT_MAX_LINK_ATTEMPTS
ICEN,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_IMAGE_CAPTURE_ENABLE
GRIP,0,0,,,,,,,,,,,,,,,"[format=selection]
00=00
01=01
02=02",CI_GOODREAD_INDICATION_PROFILE
AUAJ,1,1,,,,,,,,,,,,,,,"[format=selection]
00=00
01=01",CI_AUDIO_AUTO_ADJUSTMENT
LOGG,0x0A,0x0A,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01",CI_LOGGER_PRIORITY_LEVEL
IFTY,0x0001,0x0001,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x34
step=01",CI_INTERFACE_TYPE
C2LC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_COMPRESSED_2OF5_LENGTH_CONTROL
C2L2,0x32,0x32,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x32
step=01",CI_COMPRESSED_2OF5_LENGTH_2
C2L1,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x32
step=01",CI_COMPRESSED_2OF5_LENGTH_1
C2EN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_COMPRESSED_2OF5_ENABLE
C2CT,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_COMPRESSED_2OF5_CHECK_CHARACTER_TRANSMISSION
C2CC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_COMPRESSED_2OF5_CHECK_CHARACTER_CALCULATION
C2AI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_COMPRESSED_2OF5_AIM_ID_ENABLE
C4LC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_CODE49_LENGTH_CONTROL
C4L2,0x51,0x51,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x51
step=01",CI_CODE49_LENGTH_2
C4L1,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x51
step=01",CI_CODE49_LENGTH_1
C4EN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_CODE49_ENABLE
C4AI,0x00,0x00,,,,,,,,,,n.a.,,,,,"[format=selection]
00=Disable
01=Enable",CI_CODE49_AIM_ID_ENABLE
C6LC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_CODE16K_LENGTH_CONTROL
C6L2,0x9B,0x9B,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x9B
step=01",CI_CODE16K_LENGTH_2
C6L1,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x9B
step=01",CI_CODE16K_LENGTH_1
C6EN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_CODE16K_ENABLE
C6AI,0x00,0x00,,,,,,,,,,n.a.,,,,,"[format=selection]
00=Disable
01=Enable",CI_CODE16K_AIM_ID_ENABLE
GQAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_GS1_QR_CODE_AIM_ID_ENABLE
GDAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_GS1_DATAMATRIX_AIM_ID_ENABLE
MAAP,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disabled 
01=Enabled",CI_MARGARET_AIMING_ENABLE
PWEJ,0x00000000000000000000000000000000,0x00000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFE
[PRG_ValueIncluded=false]",CI_KEYB_KEYSEQ_TERM
PWEO,0x53320000000000000000000000000000,0x53320000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFE
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_STRING2
PWSE,0x00000000,0x00000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFE
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_LABEL_FOR_F4
PWSD,0x00000000,0x00000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFE
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_LABEL_FOR_F3
PWSC,0x00000000,0x00000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFE
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_LABEL_FOR_F2
PWSB,0x00000000,0x00000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFE
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_LABEL_FOR_F1
PWBT,0x00000000000000000000000000000000,0x00000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFE
[PRG_ValueIncluded=false]",CI_BARCODE_TERM
PWBH,0x00000000000000000000000000000000,0x00000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFE
[PRG_ValueIncluded=false]",CI_BARCODE_HEAD
PWDF,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_KEYBOARD_DATA_FORMAT
PWSA,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable Lower Case
01=Enable Lower Case
",CI_KEYBOARD_SHIFT_KEY_ADVANCE
PWNT,1,1,,,,,,,,,,,,,,,"[format=selection]
00=0.5s
01=1s
02=1.5s
03=2s",CI_KEYBOARD_NOPRESSED_TOUT
PWEI,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_KEYBOARD_KEY_CLICK
PWKE,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Full Keypad echo
01=No echo on function key
02=No echo on any key
",CI_KEYBOARD_ECHO
PWQP,0,0,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_KEYBOARD_QTY_SEPARATOR
PWEH,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Quantity and Code
01=Code and Quantity
02=Code (transmitted Quantity times)",CI_KEYBOARD_QTY_SEND_MODE
PWEK,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Tx code with default QTY (= 1)
01=CODE alone (no QTY information)
02=Discard barcode (error beep)",CI_KEYBOARD_MODE_INSERT_QTY
DITS,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Both barcode and keypad
01=Only from barcode
02=Only from keypad",CI_DISPLAY_TIME_STAMPING_MODE
DIST,0x02,0x02,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x63
step=01
[PRG_ValueIncluded=false]",CI_DISPLAY_LAST_CODE_SHOW_TOUT
PWFW,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Overwrite always
01=Append and transmit
02=Append and not transmit",CI_DISPLAY_OVERWRITE_CODE_TX
DISM,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Normal Mode
01=Qty|Code Mode",CI_DISPLAY_SUBMODE
ETD2,0x00000000,0x00000000,,,,,,,,,,,,,,,"[format=custom]
[field 1]
size=8
display=Address 1 
[format=range]
min=0x00
max=0xFF
step=01
[/field 1]
[field 2]
size=8
display=Address 2 
[format=range]
min=0x00
max=0xFF
step=01
[/field 2]
[field 3]
size=8
display=Address 3 
[format=range]
min=0x00
max=0xFF
step=01
[/field 3]
[field 4]
size=8
display=Address 4 
[format=range]
min=0x00
max=0xFF
step=01
[/field 4]",CI_ETH_DNS2_ADDRESS
ETD1,0x00000000,0x00000000,,,,,,,,,,,,,,,"[format=custom]
[field 1]
size=8
display=Address 1 
[format=range]
min=0x00
max=0xFF
step=01
[/field 1]
[field 2]
size=8
display=Address 2 
[format=range]
min=0x00
max=0xFF
step=01
[/field 2]
[field 3]
size=8
display=Address 3 
[format=range]
min=0x00
max=0xFF
step=01
[/field 3]
[field 4]
size=8
display=Address 4 
[format=range]
min=0x00
max=0xFF
step=01
[/field 4]",CI_ETH_DNS1_ADDRESS
ETGA,0xC0A8BBFE,0xC0A8BBFE,,,,,,,,,,,,,,,"[format=custom]
[field 1]
size=8
display=Address 1 
[format=range]
min=0x00
max=0xFF
step=01
[/field 1]
[field 2]
size=8
display=Address 2 
[format=range]
min=0x00
max=0xFF
step=01
[/field 2]
[field 3]
size=8
display=Address 3 
[format=range]
min=0x00
max=0xFF
step=01
[/field 3]
[field 4]
size=8
display=Address 4 
[format=range]
min=0x00
max=0xFF
step=01
[/field 4]",CI_ETH_GATEWAY_ADDRESS
ETSM,0xFFFFFF00,0xFFFFFF00,,,,,,,,,,,,,,,"[format=custom]
[field 1]
size=8
display=Address 1 
[format=range]
min=0x00
max=0xFF
step=01
[/field 1]
[field 2]
size=8
display=Address 2 
[format=range]
min=0x00
max=0xFF
step=01
[/field 2]
[field 3]
size=8
display=Address 3 
[format=range]
min=0x00
max=0xFF
step=01
[/field 3]
[field 4]
size=8
display=Address 4 
[format=range]
min=0x00
max=0xFF
step=01
[/field 4]",CI_ETH_SUBNET_MASK
ETIP,0xC0A8BB1F,0xC0A8BB1F,,,,,,,,,,,,,,,"[format=custom]
[field 1]
size=8
display=Address 1 
[format=range]
min=0x00
max=0xFF
step=01
[/field 1]
[field 2]
size=8
display=Address 2 
[format=range]
min=0x00
max=0xFF
step=01
[/field 2]
[field 3]
size=8
display=Address 3 
[format=range]
min=0x00
max=0xFF
step=01
[/field 3]
[field 4]
size=8
display=Address 4 
[format=range]
min=0x00
max=0xFF
step=01
[/field 4]",CI_ETH_STATIC_IP_ADDRESS
ETMH,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Disable 
01=Enable",CI_ETH_MULTICONN_PER_HOST
ETXN,0x0A,0x0A,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01",CI_ETH_XML_MIN_NUMBER_LABEL
ETXM,0x32,0x32,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01",CI_ETH_XML_MAX_NUMBER_LABEL
ETAS,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Telnet
01=Data Socket
02=Both Telnet and Data Socket",CI_ETH_ACTIVE_SERVICE
ETMW,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=1 Client
02=2 Clients
03=3 Clients
04=4 Clients
05=5 Clients
06=6 Clients",CI_ETH_MAX_CLIENT_WEBSERVER
ETMD,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=1 Client
02=2 Clients
03=3 Clients",CI_ETH_MAX_CLIENT_DATA_SOCKET
ETMT,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=1 Client
02=2 Clients
03=3 Clients",CI_ETH_MAX_CLIENT_TELNET
ETDN,0x434D393638302D000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x434D393638302D000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_ETH_DEVICE_NAME
ETPW,0x70617373776F72640000000000000000,0x70617373776F72640000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x20
max=0x7E
[PRG_ValueIncluded=false]",CI_ETH_PASSWORD
ETWS,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable 
01=Enable",CI_ETH_WEB_SECURITY
ETSD,1,1,,,,,,,,,,,,,,,"[format=selection]
00=ETH IP
01=ETH STD
02=ETH MODBUS",CI_ETH_STD
ETDP,51000,51000,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFFFF
step=01
[PRG_ValueIncluded=false]",CI_ETH_DATASOCKET_PORT
ETAP,59180,59180,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFFFF
step=01
[PRG_ValueIncluded=false]",CI_ETH_ALADDIN_PORT
ETHP,0x0080,0x0080,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFFFF
step=01
[valueSend=Int]",CI_ETH_HTTP_PORT
ETTP,0x0023,0x0023,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFFFF
step=01
[valueSend=Int]",CI_ETH_TELNET_PORT
ETDC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_ETH_DHCP
ENDC,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_DIGIMARC_COMPATIBILITY_MODE
ENDP,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_DIGIMARC_ENABLED
MPAI,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_MACRO_PDF_AIM_ID_ENABLE
XCID,0x525800,0x640000,,0x450000,0x525800,,,,,,0x640000,,,0x525800,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_RSS_EXPANDED_COMPOSITE
XCAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_RSS_EXPANDED_COMPOSITE_AIM_ID_ENABLE
XBU8,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_RSS_EXPANDED_EAN128_EMULATION
XBMR,1,1,,,,,,,,,,,,,,,"[format=range]
min=01
max=04
step=01
[PRG_ValueIncluded=false]",CI_DATABAR_EXPANDED_MINIMUM_READ
XBLC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_RSS_EXPANDED_LENGTH_CONTROL
XBL2,0x4A,0x4A,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x4A
step=01
[PRG_ValueIncluded=false]",CI_RSS_EXPANDED_LENGTH_2
XBL1,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x4A
step=01
[PRG_ValueIncluded=false]",CI_RSS_EXPANDED_LENGTH_1
XBID,0x525800,0x740000,,0x450000,0x523400,,,,,0x520000,0x740000,,,0x523400,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_RSS_EXPANDED
XBEN,0x00,0x00,,,0x01,,,,,,,,,0x01,,,"[format=selection]
00=Disable
01=Enable",CI_RSS_EXPANDED_ENABLE
XBDA,3,3,,,,,,,,,,,,,,,"[format=range]
min=01
max=05
step=01
[PRG_ValueIncluded=false]",CI_DATABAR_EXPANDED_DIGIT_AGGRESSIVENESS
XBAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_RSS_EXPANDED_AIM_ID_ENABLE
XB2D,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_RSS_EXPANDED_2D_COMPONENT_ENABLE
WCVS,0,0,,,,,,,,,,,,,,,[format=ascii],CI_WRONG_CODE_VERIFIER_STRING
WASP,1,1,,,,,,,,,,,,,,,"[format=selection]
00=330 microseconds
01=660 microseconds",CI_WAND_SIGNAL_SPEED
WASC,0,0,,,,,,,,,,,,,,,"[format=selection]
00=No conversion
01=Convert to Code39 symbology
02=Convert to Code128 symbology
03=Convert to Code39 FULL ASCII symbology",CI_WAND_LABEL_SYMBOLOGY_CONVERSION
WAPO,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Quiet zones and spaces are high, bars are low
01=Quiet zones and spaces are low, bars are high",CI_WAND_POLARITY
WAID,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Low
01=High",CI_WAND_IDLE_STATE
USSE,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=3",CI_USB_SUSPEND_ENABLE
UNSU,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_UPCEAN_STITCH_UNLIKE_LABEL_HALVES
UNSL,0x05,0x05,,,,,,,,,,,,,,,"[format=range]
min=05
max=0x0F
step=01
[PRG_ValueIncluded=false]",CI_UPCEAN_MINIMUM_SEGMENT_LENGTH
UNSE,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_UPCEAN_STITCH_EXACT_LABEL_HALVES
UNLO,0x02,0x02,,,,,,,,,,,,,,,"[format=selection]
01=One Module
02=Two Modules
03=Three Modules
04=Four Modules
05=Five Modules
06=Six Modules
07=Seven Modules
08=Eight Modules",CI_UPCEAN_QUIET_ZONE
UNG1,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_UPCEAN_GUARD_INSERTION
UNDL,0x03,0x03,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x05
step=01
[PRG_ValueIncluded=false]",CI_UPCEAN_DECODING_LEVEL
UNDA,0x03,0x03,,,,,,,,0x01,,,,,,,"[format=range]
min=01
max=05
step=01
[PRG_ValueIncluded=false]",CI_UPCEAN_DIGIT_AGGRESSIVENESS
UNCO,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_UPC_EAN_CORRELATION_ENABLE
UMID,0x000000,0x244500,,0x500000,0x000000,,,,,,0x244500,,,0x000000,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_EAN128_COMPOSITE
UCAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_EAN128_COMPOSITE_AIM_ID_ENABLE
U8ID,0x000000,0x6B0000,,0x500000,0x000000,0x462300,,,0x462300,0x460000,0x6B0000,,,0x000000,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_EAN128
U8EN,0x01,0x01,,,,,,,,0x00,,,,,,,"[format=selection]
00=Transmit EAN128 labels in Code128 data format
01=Transmit EAN128 labels in EAN128 data format
02=Do not transmit EAN128 labels",CI_EAN128_ENABLE
U8AI,0x01,0x01,,0x00,,0x00,,,0x00,,0x00,0x00,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_EAN128_AIM_ID_ENABLE
U82D,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_UCC_EAN128_2D_COMPONENT_ENABLE
U2ST,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_INDUSTRIAL_2OF5_STITCHING_ENABLE
U2MR,1,1,,,,,,,,,,,,,,,"[format=range]
min=01
max=04
step=01
[PRG_ValueIncluded=false]",CI_INDUSTRIAL_2OF5_MINIMUM_READ
U2LC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_INDUSTRIAL_2OF5_LENGTH_CONTROL
U2L2,0x32,0x32,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",CI_INDUSTRIAL_2OF5_LENGTH_2
U2L1,0x06,0x06,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x32
step=01
[PRG_ValueIncluded=false]",CI_INDUSTRIAL_2OF5_LENGTH_1
U2ID,0x570000,0x570000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_INDUSTRIAL_2OF5
U2EN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_INDUSTRIAL_2OF5_ENABLE
U2DA,3,3,,,,,,,,,,,,,,,"[format=range]
min=01
max=05
step=01
[PRG_ValueIncluded=false]",CI_INDUSTRIAL_2OF5_DIGIT_AGGRESSIVENESS
U2CT,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_INDUSTRIAL_2OF5_CHECK_CHARACTER_TRANSMISSION
U2CO,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_INDUSTRIAL_2OF5_CORRELATION_ENABLE
U2CC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_INDUSTRIAL_2OF5_CHECK_CHARACTER_CALCULATION
U2AI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_INDUSTRIAL_2OF5_AIM_ID_ENABLE
TTXF,0,0,,,,,,,,,,,,,,,"[format=selection]
00=hh:mm:ss (ISO 8601).
01=hhmmss (No ISO).",CI_TIME_TX_FORMAT
THMS,0x000000000000,0x000000000000,,,,,,,,,,,,,,,"[format=custom]
[field HH]
size=16
display=hours
[format=range]
min=00
max=0x17
step=01
[valueSent=int]
[/field HH]
[field MM]
size=16
display=minutes
[format=range]
min=00
max=0x3B
step=01
[valueSent=int]
[/field MM]
[field SS]
size=16
display=seconds
[format=range]
min=00
max=0x3B
step=01
[valueSent=int]
[/field SS]",CI_TIME_HOUR24_MINUTES_SECONDS
TATO,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disabled
01=Enable short
02=Enable medium
03=Enable long",CI_AIMING_DELAY
TAMD,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Normal
01=Always On
02=Always Off",CI_AIMING_MODE
TAAP,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
02=Green Spot",CI_AIMING_POINTER_ENABLE
STTX,0x00,0x00,,0x01,,,,,,,,0x01,,,,,"[format=selection]
00=ACK from cradle
01=ACK when sent to host
02=ACK from host",CI_STAR_TX_MODE
STPT,0x02,0x02,,,,,,,,,,,,,,,"[format=selection]
0x02=2 seconds
0x03=3 seconds
0x04=4 seconds
0x05=5 seconds
0x06=6 seconds
0x07=7 seconds
0x08=8 seconds
0x09=9 seconds
0x0A=10 seconds
0x0B=11 seconds
0x0C=12 seconds
0x0D=13 seconds
0x0E=14 seconds
0x0F=15 seconds
0x10=16 seconds
0x11=17 seconds
0x12=18 seconds
0x13=19 seconds
0x14=20 seconds
0x15=21 seconds
0x16=22 seconds
0x17=23 seconds
0x18=24 seconds
0x19=25 seconds
[PRG_ValueIncluded=false]",CI_STAR_RADIO_PROTOCOL_TIMEOUT
STFA,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
0x00=Disabled (fixed frequency channel)
0x80=Enabled
[ExtraOption=AllValuesAccepted]",CI_STAR_RADIO_FREQUENCY_AGILITY
STCP,0x03,0x03,,,,,,,,,,,,,,,"[format=selection]
01=Low Speed
03=High Speed",CI_STAR_COMPATIBILITY
SPTO,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Trigger Stop
01=Time Out
02=Trigger Time Out",CI_PHASE_TIMEOUT_MODE
SPMG,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x40
step=01
[PRG_ValueIncluded=false]",CI_MANUAL_EXPOSURE_GAIN
SPIL,,,,,,,,,,,,,,,,,"[format=selection]
00=Disabled
01=Enabled
02=Triggered",CI_ILLUMINATION_MODE
SPIC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Always On
02=Always Off",CI_MANUAL_ILLUMINATOR_CONTROL
SPEP,260,260,,,,,,,,,,,,,,,"[format=range]
min=0
max=3000
step=01
[PRG_ValueIncluded=false]",CI_EXPOSURE_PERIOD
SPEN,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_SENSOR_STANDBY_ENABLE
SPEM,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Manual
01=Automatic with reset to Eposure Period value
02=Automatic with reset to last trigger value",CI_EXPOSURE_MODE
SPEB,0x10,0x10,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x40
step=01
[PRG_ValueIncluded=false]",CI_EXPOSURE_BRIGHTNESS_TARGET
SPDG,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_MANUAL_DIGITAL_GAIN
SPAT,0x60,0x60,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_AUTO_EXPOSURE_TARGET_VALUE
SPAG,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_AUTOMATIC_DIGITAL_GAIN
SPA1,0x0901020501030501040501,0x0901020501030501040501,,,,,,,,,,,,,,,[format=ascii],CI_MAGPIE_CYCLE_ARRAY_1
SOTM,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_SERIALONLINE_TRIGGER_MODE
SNTO,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
01=Fast
02=Medium
03=Slow",CI_PICK_MODE_AIMING_DURATION_TIME
SNTM,0x04,0x04,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x20
step=01
[PRG_ValueIncluded=false]",CI_MANUAL_TO_WATCH_TIMEOUT
SNTE,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_TRIGGER_ENABLE
SNRM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Trigger Single
01=Trigger hold multiple
02=Trigger pulse multiple
03=Flashing
04=Always on
05=Object Detection
06=Trigger Object sense
07=Retained Trigger Hold Multiple",CI_READ_MODE
